net,length_um
RF.registers\[25\]\[14\],822.74
_0987_,822.26
net92,821.66
_0979_,821.64
_0895_,818.57
_0853_,817.32
_0994_,816.74
_0600_,816.55
_0595_,816.5
_0749_,816.355
net288,815.47
_0143_,815.18
_0986_,814.03
_0567_,811.46
SSD.count\[2\],809.78
_0880_,809.58
_0443_,808.24
RF.registers\[10\]\[9\],808.21
_0283_,806.5
net312,806.31
_1087_,806.08
net355,805.06
net166,802.54
RF.registers\[5\]\[22\],801.4
_1123_,800.4
_0812_,800.32
_1098_,800.26
RF.registers\[5\]\[20\],799.95
RF.registers\[25\]\[7\],799.52
_0408_,799.38
_1158_,798.92
RF.registers\[10\]\[20\],798.46
_0121_,798.35
net357,797.92
_0279_,796.9
_0344_,796.37
RF.registers\[20\]\[19\],796.2
_0907_,795.72
_0926_,795.52
_0737_,794.92
RF.registers\[10\]\[27\],794.24
RF.registers\[15\]\[28\],794.12
_0176_,793.82
RF.registers\[5\]\[6\],793.69
_1265_,793.5
_1280_,793.16
net304,792.96
_0910_,792.82
net242,791.96
_0340_,791.5
_0163_,791.48
_0085_,789.74
RF.registers\[10\]\[7\],787.81
_0285_,787.2
clknet_4_15__leaf_clk,787.015
net5,786.94
RF.registers\[5\]\[7\],786.93
RF.registers\[15\]\[23\],785.98
_0315_,785.9
_0389_,783
_0252_,781.96
_0242_,781.82
RF.registers\[0\]\[5\],781.4
net457,781.08
RF.registers\[20\]\[17\],780.6
_0461_,778.4
RF.registers\[0\]\[4\],778.37
RF.registers\[20\]\[22\],778.26
_0039_,777.66
_0488_,777.54
_0882_,777.36
_0157_,775.52
_0480_,773.9
_0547_,773.35
_0857_,773.29
_0783_,772.94
_0937_,771.78
_0492_,770.84
_0610_,769.58
_1148_,768.89
_1102_,768.48
RF.registers\[25\]\[30\],767.53
_0263_,765.52
net436,765.42
_0885_,764.6
_0000_,764.39
_0811_,763.52
_0107_,763.08
_0049_,762.88
_0902_,762.82
_0160_,760.86
_0129_,760.74
clknet_4_8__leaf_clk,759.78
_0801_,758.52
_1231_,758.08
_0859_,757.46
_0158_,756.54
_0858_,753.98
_0627_,753.5
_0593_,752.08
_0718_,752.06
_0256_,752.02
_0976_,750.995
_0941_,750.92
RF.registers\[15\]\[21\],750.05
_1050_,749.58
_0597_,749.38
_0884_,748.82
net246,748.66
_0823_,748.64
_1039_,747.96
_0440_,742.76
_0117_,742.28
_1069_,741.82
net282,741.475
_0323_,741.36
_0580_,740.96
_1284_,740.38
_0603_,739.44
_0905_,738.95
net345,738.78
_1279_,738.38
_0711_,738.34
_1256_,737.96
_0916_,737.765
_1127_,737.42
_0040_,737.36
_0236_,736.96
clknet_4_13__leaf_clk,736.7
_1251_,734.44
_0045_,731.49
_0985_,731.19
_1227_,729.01
net469,726.86
net443,726.54
_1062_,726.12
clknet_4_11__leaf_clk,725.965
_1120_,725.74
_0241_,724.64
_1168_,723.9
_1073_,723.88
_1245_,723.58
_1275_,723.26
_0244_,722.86
_1258_,722.08
_0873_,721.48
_0929_,721.28
_1046_,720.26
net354,719.74
_0513_,719.695
_0520_,719.56
_0785_,718.91
_0322_,718.08
_1074_,717.38
_0471_,716.88
_0400_,716.8
_1220_,716.02
_1200_,714.28
_0838_,713.82
_1283_,711.26
_0892_,711.08
_1144_,709.54
_1100_,708.56
_0208_,708.28
_0699_,707.435
RF.registers\[15\]\[20\],706.69
clknet_4_9__leaf_clk,706.53
RF.registers\[5\]\[27\],706.26
_0246_,706.2
_0120_,706.14
_1226_,705.94
SSD.count\[4\],704.4
_0436_,703.28
_0063_,701.94
_0249_,701.6
net179,701.14
_0237_,700.98
_1234_,700.08
_0668_,699.16
_0984_,698.92
_1080_,698.74
_1235_,698.53
_0518_,698.35
_0369_,698.32
_1180_,697.54
_0509_,697.4
_0441_,696.56
_0036_,695.78
_0753_,695.32
_1112_,694.86
_0355_,693.08
_1005_,692.86
_1142_,692.68
_0259_,692.18
net284,691.26
_0164_,690.16
net445,690.14
_0110_,688.6
_1247_,688.28
_1043_,687.84
_0098_,687.64
_0275_,686.465
_0504_,685.9
_1038_,682.9
net210,681.62
_0903_,679.62
RF.registers\[25\]\[25\],679.42
_0921_,679.38
clknet_4_4__leaf_clk,678.44
_0205_,677.16
RF.registers\[15\]\[12\],676.85
_1149_,676.7
_0286_,676.4
RF.registers\[20\]\[27\],676.28
_0106_,675.175
_0999_,675.1
_1272_,674.86
_0521_,674.74
_0115_,674.345
_0710_,674.02
_1093_,673.3
RF.registers\[20\]\[28\],673.2
_1178_,672.81
_0641_,672.4
_0014_,671.78
RF.registers\[25\]\[10\],670.62
clknet_4_10__leaf_clk,670.12
RF.registers\[5\]\[15\],669.76
_0735_,668.5
SSD.count\[3\],666.75
_1250_,665.62
_0078_,664.84
_0390_,664.32
_0951_,664.22
RF.registers\[25\]\[26\],662.56
_1163_,660.52
_1086_,660.42
_0816_,660.24
net70,660.12
_1057_,660.1
_0981_,659.16
_0500_,659.08
_0991_,658.84
_0319_,658.7
_1021_,658.36
_0863_,656.8
_0724_,654.52
_1208_,654.05
_0780_,654.02
_0069_,653.4
net401,652.875
_1162_,652.72
_0956_,652.5
SSD.count\[0\],652.42
_0705_,651.14
clknet_4_14__leaf_clk,649.27
net59,648.7
_0434_,647.85
RF.registers\[25\]\[27\],646.82
_0927_,646.2
_0424_,645.98
_0611_,645.9
_0125_,645.52
_0072_,644.78
_0451_,644.42
SSD.count\[13\],642.96
_0247_,641.62
_1197_,641.36
_1066_,641.29
_1161_,641.26
clknet_4_1__leaf_clk,640.88
net432,639.74
_0170_,638.7
_0915_,638.11
_1146_,637.88
_0973_,636.06
_0019_,635.325
_1270_,634.26
_0677_,632.89
_1109_,632.74
_0523_,631.58
_0388_,631.52
_0975_,631.24
_0405_,628.49
_0343_,626.84
_0890_,626.74
RF.registers\[20\]\[15\],624.8
_0126_,623.88
_1189_,623.18
_0200_,622.875
_0180_,622.68
_0638_,622.62
SSD.count\[11\],622.6
RF.registers\[25\]\[3\],621.62
clknet_4_0__leaf_clk,621.36
net84,621.34
_0770_,620.76
_0202_,620.4
_0094_,619.04
_0018_,618.54
clknet_4_12__leaf_clk,618.47
RF.registers\[20\]\[31\],618.34
RF.registers\[25\]\[24\],618.3
_0945_,617.84
_0496_,616.96
_0445_,616.78
_0617_,616.58
SSD.count\[9\],615.22
_0046_,615.1
_0052_,614.16
_0444_,613.675
_1230_,613.12
_1045_,612.835
net163,612.7
_1016_,612.45
_0075_,612.42
_0911_,611.8
_0934_,611
_0788_,610.85
_0414_,609.22
_1160_,609.06
_0725_,608.08
_1157_,607.56
_1094_,607.22
RF.registers\[15\]\[29\],607.21
_0264_,606.96
_1137_,606.96
net223,606.52
net258,604.2
_0363_,603.44
RF.registers\[10\]\[22\],601.48
_0435_,601.06
_0861_,599.17
clknet_4_6__leaf_clk,598.54
_0953_,598.12
net377,597.98
_1216_,596.92
_0609_,595.52
net189,593.8
net51,590.34
_0354_,590.08
net195,590.08
_0421_,588.945
_0767_,588.68
_0457_,588.66
RF.registers\[15\]\[14\],587.45
net185,586.98
net215,586.605
net358,585.4
net140,584.84
_0204_,584.34
_0278_,582.88
clknet_4_7__leaf_clk,582.78
net46,582.74
_0685_,582.25
_1244_,581.9
_0511_,581.08
net143,580.8
net186,580.72
_0280_,580.66
net262,580.44
net269,580.38
_0149_,580.375
RF.registers\[25\]\[13\],580.24
_0291_,579.81
net114,579.5
net169,579.5
net158,579.42
_0338_,578.32
net301,577.68
net188,577.6
_1130_,575.94
net279,575.1
_0663_,574.24
net192,573.94
_0312_,573.42
_0536_,571.24
_0216_,570.12
_0064_,568.84
_1211_,567.92
net151,567.38
_1085_,565.8
_1198_,565.4
_0144_,564.98
_0721_,563.64
_0989_,562.48
_0254_,557.9
net225,557.64
net146,557.295
_0152_,557.08
clknet_0_clk,556.97
_0872_,556.66
net224,556.52
net348,555.92
_1206_,555.58
net144,555.2
net164,555.16
net277,554.72
_1203_,553.5
_0489_,553.32
net263,552.72
net276,551.92
net381,551.8
net167,551.14
net157,551.04
_1190_,550.98
_0587_,550.76
net261,550.74
_0316_,550.12
net376,548.93
net96,548.88
_0751_,548.14
net124,547.92
_1246_,547.78
_0442_,547.65
_0515_,547.6
net298,547.44
net375,546.94
_0889_,545.84
net316,545.4
_0232_,544.92
_0974_,544.92
net177,544.56
_0555_,544.28
_0732_,543.5
net207,543.16
_1037_,542.98
net126,542.88
_0119_,542.36
RF.registers\[20\]\[5\],542.2
clknet_4_2__leaf_clk,541.705
_0336_,541.64
_1104_,541.52
net287,540.82
_1233_,540.7
_1008_,540.36
_0003_,540.06
net160,540
_0169_,539.68
net147,539.62
net333,539.62
_1263_,539.08
net134,537.74
net136,537.5
SSD.count\[1\],536.94
net370,536.73
net236,535.68
_1014_,534.3
net441,533.58
_1138_,533.48
_0004_,533.29
_0707_,532.86
_0080_,531.82
net372,531.8
RF.registers\[20\]\[29\],530.98
_1030_,530.58
_1097_,529.88
_0959_,528.44
net241,528.26
_0747_,527.87
net212,525.98
net350,525.96
_0068_,525.8
_1051_,525.74
_0021_,525.49
_0399_,525.475
net250,525.08
_0147_,524.24
_0127_,523.68
net266,522.76
net228,522.58
net278,522.07
_0184_,521.78
RF.registers\[10\]\[25\],521.36
RF.registers\[20\]\[7\],519.96
net378,519.95
net257,519
net65,517.5
_1186_,517.28
clknet_4_3__leaf_clk,517.16
net234,516.3
net97,515.4
_1028_,515.14
net309,515.08
net75,514.76
net153,514.16
_0798_,514.07
net138,513.88
net217,513.64
_0212_,512.64
_0898_,512.3
_1054_,511.84
net317,511.5
net205,511.375
net430,510.04
_0681_,509.82
_0430_,509.46
_1199_,509.04
net419,508.84
net137,508.5
net374,508.28
net148,508.08
_1171_,507.52
_1152_,506.92
_0015_,505.8
net226,505.3
_0618_,504.85
_0137_,504.36
_0348_,503.52
_0360_,503.17
_1232_,502.36
net204,502.11
_1071_,501.26
_1029_,501.22
_0869_,500.57
_0472_,500.5
_0476_,500.5
net230,500.28
_0797_,500.22
net190,500.02
net233,499.88
net40,499.78
_0303_,498.32
_0150_,498.18
net422,497.02
net150,496.8
net155,496.74
net183,496.64
net265,496.4
_1261_,496.08
net361,495.96
_0233_,495.06
net273,494.94
net48,494.62
net47,494.3
net390,494.14
_0062_,493.38
RF.registers\[20\]\[26\],493.22
_0832_,492.65
net99,492.28
_1024_,491.6
net91,491.115
net429,491.06
_0978_,489.94
net264,489.08
_0070_,488.8
_0222_,488.78
_0413_,488.38
net380,488.26
_0339_,488.06
_0314_,487.22
